,title,tags
19,twelve monkeys,year 2035 convict jame cole reluctantli volunt sent back time discov origin deadli viru wipe nearli earth popul forc survivor underground commun mistakenli 1990 instead 1996 arrest lock mental hospit meet psychiatrist dr kathryn railli patient jeffrey goin son famou expert may hold key mysteri rogu group armi 12 monkey thought respons unleash killer diseas sciencefict thriller mysteri universalpictur atlasentertain classico brucewilli madeleinestow bradpitt christopherplumm davidmors jonseda frankgorshin josephmelito aaronmichaellacey christophermeloni joeyperillo lisagayhamilton mattross anniegolden michaelch vernoncampbel h.michaelwal bobadrian simonjon carolflor billraymond ernestabuba irmast.paul rozwillyoung nelljohnson frederickstroth charlestechman rickwarn brucekirkpatrick wilfredwilliam joiletharri druciemcdaniel johnblaiss louislippa stankang patdia felixpir karlwarren josephmckenna stephenbridgewat rayhuffman charleyscali paulmeshejian kevinthigpen jannelli michaelryanseg korchenko chuckjeffrey barrypric johnpanzarella janetzappala lisatalerico tiffanybaldwin c.j.byrn tomdetrik joegereti reneespei bonnieloev raymondmamrak salmazzotta allelonruggiero thang
20,babe,babe littl pig quit know place world bunch odd friend like ferdinand duck think rooster fli dog call mom realiz make becom greatest sheep time farmer hogget know help dog learn anyth want fantasi drama comedi famili universalpictur kennedymillerproduct christinecavanaugh miriammargoly dannymann hugoweav miriamflynn jamescromwel russitaylor evelynkrap michaeledward-steven charlesbartlett paullivingston roscoeleebrown magdaszubanski zoeburton paulgoddard wadehayward brittanybyrn maryacr
21,dead man walking,justic drama base true stori man death row last day form strong relationship nun teach forgiv give spiritu accompani execut susan sarandon oscar best femal actress convinc portray sister helen prejean drama havoc polygramfilmedentertain workingtitlefilm susansarandon seanpenn robertproski raymondj.barri r.leeermey celiaweston loissmith scottwilson robertamaxwel margomartindal jackblack rayaranha petersarsgaard bartonheyman stevebol nesbittblaisdel larrypin kevincooney clancybrown michaelcullen missyyag jennykrochm jonabraham arthurbridg stevecarlisl evaamurrimartino jackhenryrobbin dennisn mollybry adelerobbin peteburri joanglov lenorebank scottsow corteznancejr. adamnelson jeremyknast marcuslylebrown anthonymichaelfrederick thomasmcgowan codiescott helenprejean
22,mortal kombat,nine gener evil sorcer victori hand battl mortal enemi win tenth kombat tournament desol reign multivers forev save earth three warrior must overcom seemingli insurmount odd inner demon superhuman foe action adventur movi base one popular video game time action fantasi newlinecinema thresholdentertain christopherlambert robinsh lindenashbi cary-hiroyukitagawa bridgettewilson talisasoto trevorgoddard chriscasamassa françoispetit keithcook edboon
23,to die for,susan want work televis therefor anyth take even mean kill husband dark comedi independ director gu van sant brilliant nicol kidman lead role fantasi drama comedi thriller therankorganis columbiapicturescorpor nicolekidman mattdillon joaquinphoenix caseyaffleck illeanadougla alisonfolland danhedaya wayneknight davidcronenberg kurtwoodsmith hollandtaylor susantraylor mariatucci timhopp
24,how to make an american quilt,soon wed graduat student finn dodd develop cold feet suspect fiancé cheat order clear head visit grandmoth hy great aunt gladi joe cleari grass calif learn member group passion quilter cours visit regal tale love life women collect rich experi much wisdom drama romanc universalpictur amblinentertain winonaryd annebancroft ellenburstyn katenelligan jeansimmon mayaangel alfrewoodard dermotmulroney loissmith katecapshaw riptorn johnathonschaech samanthamathi joannago estherrol jaredleto clairedan lecygoranson hollandtaylor timguine lorendean melindadillon richardjenkin denisarndt adambaldwin michaelmcelroy arimey janealden tamalajon aliciagoranson willest mykeltiwilliamson
25,se7en,two homicid detect desper hunt serial killer whose crime base seven deadli sin dark haunt film take viewer tortur remain one victim next season det sommerset research sin effort get insid mind novic partner mill scoff effort unravel case crime mysteri thriller newlinecinema junopix cecchigoripictur bradpitt morganfreeman gwynethpaltrow johnc.mcginley kevinspacey r.leeermey richardroundtre richardschiff juliearaskog markboonejunior johncassini rege.cathey petercrombi hawthornejam michaelmasse lelandors richardportnow danielzacapa alfonsofreeman harrissavid andrewkevinwalk richmondarquett pamalatyson emilywagn shannonwilcox georgechristi endrehul williamdavidson bobcollin dominiquejen allankolman geneborkan mariodidonato harrisonwhit bobstephenson michaelreidmackay lennieloftin martinseren davidcorreia lexiebigham evanmirand pauleckstein rachelflanagan heidischanz brianev jamesdeeth charlesa.tamburro charless.dutton arthurmax
26,pocahontas,histori come glorious life disney epic anim tale love adventur new world pocahonta nativ american woman whose father arrang marri villag best warrior vision tell chang come soon face form capt john smith adventur anim drama famili waltdisneypictur waltdisneyfeatureanim irenebedard melgibson davidogdensti johnkassir russellmean christianbal judykuhn lindahunt dannymann billyconnolli joebak frankwelk michellest.john jamesapaumutfal gordontootoosi jimcum
27,the usual suspects,held l interrog room verbal kint attempt convinc fed mythic crime lord keyser soze exist also respons draw four partner multi million dollar heist end explos san pedro harbor – leav survivor lure interrog incred stori almost supernatur prowess drama crime thriller blueparrotproduct badhatharryproduct stephenbaldwin gabrielbyrn chazzpalminteri kevinpollak petepostlethwait kevinspacey suzyami giancarloesposito beniciodeltoro danhedaya paulbartel carlbressl christineestabrook clarkgregg morganhunt louislombardi frankmedrano rongilbert
28,mighty aphrodite,lenni wife amanda adopt babi realiz son geniu becom obsess find boy biolog mother hope brilliant learn max linda ash kindheart prostitut porn star determin reform immor lifestyl greek choru chime relat plot mytholog quirki comedi comedi romanc miramaxfilm magnoliapictur woodyallen mirasorvino helenabonhamcart f.murrayabraham donaldsymington clairebloom olympiadukaki michaelrapaport davidogdensti jackwarden peterwel danielleferland
29,friday,craig smokey two guy lo angel hang porch friday afternoon smoke drink look someth comedi newlinecinema icecub christuck nialong tomlisterjr. johnwitherspoon annamariahorsford reginak paulajaipark faizonlov djpooh tonycox anthonyjohnson berniemac meagangood terrij.vaughn f.garygray reynaldorey michaelclarkeduncan
30,from dusk till dawn,seth gecko younger brother richard run bloodi bank robberi texa escap across border mexico home free next morn pay local kingpin surviv dusk till dawn rendezv point turn hell strip joint horror action thriller crime abandapart dimensionfilm loshooligansproduct miramax georgeclooney quentintarantino harveykeitel juliettelewi ernestliu salmahayek cheechmarin dannytrejo tomsavini fredwilliamson michaelpark brendahillhous johnsaxon marclawr kellypreston johnhawk titolarriva peteratanasoff johnnyvatoshernandez aimeegraham heidimcn ernestm.garcia gregorynicotero cristo mikemoroff tiatexada janinejorda ungelabrockman michelleberub michaelmckay jakemckinnon walterphelan waynetoth
31,fair game,max kirkpatrick cop protect kate mcquean civil law attorney renegad kgb team termin action thriller romanc silverpictur warnerbros. williambaldwin cindycrawford stevenberkoff christophermcdonald miguelsandov johanncarlo salmahayek johnbedfordlloyd jenettegoldstein pauldillon olekkrupa gustavvinta marcmacaulay rubenrabasa sonnycarldavi danhedaya antonicoron danhedaya
32,big bully,writer return hometown face childhood nemesi whose life ultim ruin bulli want reliv pain past tortur comedi famili warnerbros. morgancreekproduct rickmorani tomarnold juliannephillip carolkan jeffreytambor curtisarmstrong donknott
33,screamers,siriu 6b year 2078 distant mine planet ravag decad war scientist creat perfect weapon blade wield self replic race kill devic known screamer design one purpos -- hunt destroy enemi life form horror sciencefict themovienetwork(tmn) allegrofilm fujieightcompanyltd. friesfilmgroup superecran triumphfilm peterwel roydupui jenniferrubin andrewlau lilianakomorowska michaelcaloz jasoncavali ronwhit charlesedwinpowel
34,things to do in denver when you're dead,mafia film tarantino style star stud cast jimmi ’ “ saint ” gangster career final end yet find self favor wise godfath known man plan .” drama crime miramaxfilm andygarcía christopherlloyd williamforsyth billnunn treatwilliam jackwarden stevebuscemi fairuzabalk gabrielleanwar christopherwalken michaelnicolosi sarahtrigg davidstratton jennymccarthi
35,white squall,teenag boy discov disciplin camaraderi ill fate sail voyag action drama hollywoodpictur largoentertain scottfreeproduct jeffbridg carolinegoodal johnsavag scottwolf jeremysisto ryanphillipp davidlasch davidlasch ericmichaelcol jasonmarsden davidselbi juliooscarmechoso zeljkoivanek balthazargetti ethanembri
36,nick of time,gene watson public account arriv train union station lo angel accompani 6 year old daughter lynn ordinari look approach pair sinist peopl name smith jone crime drama thriller paramountpictur johnnydepp courtneychas charless.dutton christopherwalken romamaffia peterstrauss gloriareuben marshamason miguelnájera billsmitrovich g.d.spradlin charlescarrol
37,mary reilly,housemaid fall love dr jekyl darkli mysteri counterpart mr hyde drama horror thriller romanc tristarpictur nfhproduct juliarobert johnmalkovich georgecol michaelgambon glennclos kathystaff michaelsheen bronaghgallagh lindabassett ciaránhind henrygoodman
38,vampire in brooklyn,maximillian lone survivor race vampir come brooklyn search way live past next full moon ticket surviv rita nypd detect know half vampir -- whatev necessari put spell comedi horror romanc paramountpictur eddiemurphi angelabassett allenpayn kadeemhardison johnwitherspoon zakesmoka joannacassidi w.earlbrown simbikhali
39,broken arrow,rogu stealth fighter pilot vic deakin deliber drop radar maneuv air forc end two stolen nuclear warhead -- co riley hale militari hope get back travers desert canyon utah team park ranger terri carmichael put box action adventur drama thriller twentiethcenturyfoxfilmcorpor wcgentertainmentproduct markgordonproduct johntravolta christianslat samanthamathi delroylindo bobgunton frankwhaley howielong vondiecurtis-hal jackthompson vytorugini ousaunelam shauntoub caseybigg jeffreyj.stephen joeybox
40,bottle rocket,upon releas mental hospit follow nervou breakdown directionless anthoni join friend dignan seem far less sane former hatch hair brain scheme yet unspecifi crime spree somehow involv boss supposedli legendari mr henri comedi crime drama graciefilm columbiapicturescorpor lukewilson owenwilson lumicavazo andrewwilson robertmusgrav haleymil jamescaan neddowd sheafowl briantenenbaum jennitooley templenash
41,happy gilmore,fail hockey player turn golf whiz happi gilmor -- whose unconvent approach antic grass court ire rival shooter mcgavin determin win pga tournament save granni hous prize money meanwhil attract tour publicist tri soften imag comedi universalpictur brillstein-greyentertain robertsimondsproduct adamsandl benstil christophermcdonald juliebowen francesbay carlweath richardkiel bobbark allencovert joeflaherti leetrevino robertsmigel dennisdugan kevinnealon vernelundquist jaredvansnellenberg kencamroux
42,the bridges of madison county,photograph robert kincaid wander life housewif francesca johnson four day 1960 drama romanc amblinentertain malpasoproduct warnerbros. merylstreep clinteastwood anniecorley victorslezak jimhayni sarahkathrynschmitt christopherkroon phyllislyon debramonk richardlag michelleben alisonwiegert
43,braveheart,enrag slaughter murron new bride childhood love scottish warrior william wallac slay platoon local english lord soldier lead villag revolt eventu entir countri rise rule action drama histori war iconentertainmentintern theladdcompani b.h.financec.v. melgibson catherinemccormack sophiemarceau patrickmcgoohan angusmacfadyen brendangleeson jamesrobinson jamescosmo seanmcginley gerdastevenson mhairicalvey jeannemarin seanlawlor sandynelson alantal andrewweir briancox peterhanli stephenbillington tommyflanagan rupertvansittart tamwhit ianbannen petermullan davidg malcolmtierney martinmurphi gerardmcsorley bernardhorsfal richardleaf liamcarney ralphriach barrymcgovern johnkavanagh alunarmstrong julieaustin alexnorton michaelbyrn williamscott-masson deanlopata donalgibson jimmychisholm johnmurtagh davidmckay martindempsey jimmykeogh joesavino malwhyt paultuck graemeford gregjeloudov ranamorrison
44,taxi driver,mental unstabl vietnam war veteran work night time taxi driver new york citi perceiv decad sleaz feed urg violent action attempt save preadolesc prostitut process crime drama columbiapicturescorpor italo/judeoproduct bill/phillip robertdeniro cybillshepherd harveykeitel jodiefost peterboyl leonardharri albertbrook diahnneabbott ginoardito martinscorses murraymoston richardhigg billminkin bobmaroff victorargo joespinel frankadu brendadickson normanmatlock harrynorthup harlancarypo stevenprinc petersavag nicholasshield ralphs.singleton anniegagen carsongr mary-patgreen debbimorgan donstroud
45,rumble in the bronx,keong come hong kong visit new york uncl wed run market bronx offer help honeymoon stay befriend neighbor kid beat neighborhood thug caus problem one petti local gang stumbl crimin situat way head crime action comedi thriller newlinecinema goldenharvestcompani jackiechan anitamui françoiseyip billtung marcakerstream garvincross morganlam krislord carriecain-spark
46,steal big steal little,ruben robbi twin brother adopt mona one wealthiest eccentr women santa barbara devot money leav fortun estat start battl soon lead mad mayhem even attempt murder side lou perilli ex chicago cop use car dealer know law get around ruthless businessman reed tyler turn swift profit properti walk shifti line eddi agopian famili lawyer care win long winner whether steal big littl hilari comedi greed power ... brotherli love comedi drama savoypictur andygarcía alanarkin rachelticotin joepantoliano allywalk davidogdensti kevinmccarthi richardbradford hollandtaylor
47,boomerang,marcu success advertis execut woo bed women almost compani merger find new boss ravish jacquelin treat exactli way complet traumatis work goe badli downhil comedi romanc paramountpictur eddiemurphi robingiven halleberri davidalangri gracejon martinlawr geoffreyhold earthakitt chrisrock tishacampbell-martin lelarochon johncanadaterrel johnwitherspoon
48,flirting with disaster,"adopt child new father mel colpin ben stiller decid cannot name son know birth parent determin make cross countri quest find accompani wife nanci patricia arquett ), inept yet gorgeou adopt agent tina tea leoni depart epic road trip quickli devolv farc mistaken ident wrong turn overzeal love struck atf agent josh brolin richard jenkin ). comedi romanc miramaxfilm benstil patriciaarquett téaleoni marytylermoor alanalda georgeseg lilytomlin joshbrolin richardjenkin celiaweston glennfitzgerald bethostroski cynthialamontagn davidpatrickkelli johnfordnoonan charletoberli nadiadajani doncreech clarkebittn tonykruk jonathanteaguecook stevemoreno toridavi shawnmichaelhoward suzannesnyd"
49,jade,someon nasti hatchet job san fransisco big nois assist take charg investig web blackmail prostitut involv governor old lover law man emerg prime suspect deal person feel well case action thriller mysteri romanc paramountpictur davidcaruso lindafiorentino chazzpalminteri michaelbiehn richardcrenna angieeverhart donnamurphi holtmccallani davidhunt kevintigh robinthoma victoriasmith drewsnyd sandyberumen buddyjoehook bobbybass dickzik victorwong kennethtigar ronyuan johnwyman
50,the birdcage,gay cabaret owner drag queen companion agre put fals straight front son introduc fiancé right wing moralist parent comedi unitedartist robinwilliam genehackman nathanlan diannewiest grantheslov hankazaria danfutterman calistaflockhart christinebaranski tommcgowan
51,bad boys,marcu burnett hen peck famili man mike lowri foot loos fanci free ladi miami policemen 72 hour reclaim consign drug stolen station nose complic matter order get assist sole wit murder pretend action comedi crime thriller columbiapictur donsimpson/jerrybruckheimerfilm willsmith martinlawr téaleoni tchékykaryo joepantoliano marghelgenberg michaelimperioli theresarandl annalevin nestorserrano kevincorrigan juliooscarmechoso saverioguerra vicmanni frankjohnhugh mikekirton emmanuelxuereb ralphgonzalez johnsalley lisaboyl marcmacaulay karenalexand heatherdavi buddybolton willknickerbock tiffanysamuel coryhodg scottcumberbatch michaeltaliferro fawnre joeyromano samay
52,an awfully big adventure,aw big adventur 1995 drama film theatr compani liverpool set 1947 base 1989 novel name beryl bainbridg romanc drama comedi finelinefeatur bbc britishscreenproduct portmanproduct alanrickman hughgrant georginac ritatushingham alunarmstrong peterfirth prunellascal nicolapagett edwardpetherbridg clivemerrison alancox gerardmcsorley jamesfrain caroldrinkwat ruthmccab pattilov hilaryreynold tomhickey brendanconroy johnnymurphi
53,apollo 13,true stori technic troubl scuttl apollo 13 lunar mission 1971 risk live astronaut jim lovel crew fail journey turn thrill saga heroism drift 200 000 mile earth astronaut work furious ground avert tragedi drama imagineentertain universalpictur tomhank billpaxton kevinbacon garysinis edharri kathleenquinlan marykateschellhardt emilyannlloyd mikohugh maxelliottslad jeanspeeglehoward tracyrein davidandrew michelelittl chriselli joespano xanderberkeley rogercorman andrewlipschultz markwheel endrehul clinthoward christianclemenson brettcullen thombarri gabrieljarret jimlovel
54,rob roy,highland scotland 1700 rob roy tri lead small town better futur borrow money local nobil buy cattl herd market stolen forc robin hood lifestyl defend famili honour adventur unitedartist talismanproduct liamneeson jessicalang johnhurt timroth ericstoltz briancox jasonflemyng andrewkeir shirleyhenderson brianmccardi gilbertmartin vickimasson gillygilchrist ewanstewart davidhayman davidbrookspalm myramcfadyen johnmurtagh karenmatheson billgardin brianmcarthur valentinenwanz richardbonehil allansutherland
55,batman forever,dark knight gotham citi confront dastardli duo two face riddler formerli district attorney harvey dent believ batman caus courtroom accid left disfigur one side edward nygma comput geniu former employe millionair bruce wayn get philanthropist circu acrobat dick grayson famili kill becom ward new partner robin action crime fantasi warnerbros. polygramfilmedentertain valkilm tommyleejon jimcarrey nicolekidman michaelgough pathingl drewbarrymor debimazar elizabethsand reneauberjonoi joegrifasi philipmoon jessicatuck dennispaladino donwilson bobzmuda
56,blue in the face,auggi run small tobacco shop brooklyn new york whole neighborhood come visit buy cigarett talk movi lou reed tri explain cut health insur bill keep smoke madonna act sing telegram comedi miramaxfilm inter harveykeitel loure michaelj.fox roseannebarr lilytomlin giancarloesposito josézúñiga madonna mirasorvino keithdavid victorargo jimjarmusch jaredharri melgorham malikyoba johnluri stephengevedon sharifrash peggygormley rupaul
57,canadian bacon,canadian bacon fictiti film director michael moor comedi american presid decid go war bring public ’ opinion elect time actor john candi last action comedi polygramfilmedentertain johncandi alanalda rheaperlman kevinpollak riptorn billnunn g.d.spradlin jimbelushi stevenwright bradsullivan stanleyanderson richardcouncil wallaceshawn michaelmoor danaykroyd rogerdunn
58,casper,"furiou late father will gloomi look mansion rather million carrigan crittenden readi burn place ground discov map treasur hidden hous enter ricketi seek claim frighten away wick wave ghost determin get hand fortun hire afterlif therapist dr jame harvey exorcis daughter kat move soon meet casper ghost young boy friendliest know ."" friendli uncl -- stretch fatso stinki drive fleshi fantasi comedi famili universalpictur amblinentertain theharveyentertainmentcompani christinaricci billpullman cathymoriarti ericidl joenipot joealaskey bradgarrett garetteratliffhenson jessicawesson amybrenneman malachipearson chaunceyleopardi spencervrooman benstein donnovello fredrog terrymurphi ernestinemerc dougbruckn johnkassir wesleythompson michaeldubrow j.j.anderson jessharnel michaelmccarti micahwinkelspecht mikesimmrin devonsawa danaykroyd rodneydangerfield clinteastwood melgibson elisemain"
59,clockers,strike young citi drug pusher tutelag lord rodney littl night man fast food restaur found four bullet bodi older brother turn killer det rocco klein buy stori howev set find truth seem finger point toward amp mysteri crime drama universalpictur 40acres&amulefilmwork harveykeitel johnturturro delroylindo mekhiphif isaiahwashington keithdavid peeweelov reginataylor thomasjeffersonbyrd kirkjon fredrostarr elvisnolasco lawrenceb.adisa hassanjohnson francesfost michaelimperioli lisaarrindel paulcalderon brendankelli mikestarr grahambrown stevewhit spikele shawnmclean arthurj.nascarella harrylennix braypoor craigmcnulti christopherwynkoop paulschulz donaldstephenson johnfletch j.c.mackenzi davidevanson normanmatlock isaacflow leonardl.thoma mauricesne calvinhart ginnyyang michaelbadalucco rickaiello scotanthonyrobinson richardziman davidbatist ronbric kengarito anthonynocerino briankonow michaelmcgruth carlovogel harveywilliam michaelcullen timkelleh skippsudduth larrymullan patrickferraro l.b.william jeffward rondafowl halsherman marcwebst jamessaxenmey paulduboi jordanbrown michaelmarchetta joannagardn markhoward michaelshepherd geraldk rontadavi lordkayson orranfarm waynemuham martinjaff freddievelez
60,congo,eight peopl embark expedit congo mysteri expans unexplor africa human greed law natur gone berserk thrill seeker -- ulterior motiv stumbl across race killer ape action adventur drama mysteri sciencefict thriller paramountpictur kennedy/marshallcompani the lauralinney dylanwalsh erniehudson timcurri grantheslov joedonbak lorenenoh maryellentrainor mistyrosa stuartpankin carolynseymour romyrosemont jameskaren billpugin lawrencet.wrentz johnhawk brucecampbel adewaleakinnuoye-agbaj delroylindo joepantoliano jimmybuffett
